CREST	THIGH	LEG	FOOT	TOE	LIMB	HIP	KNEE	ANKLE	MTP	AB/AD_PELVIS	ROT_PELVIS					PELVIS_R	PELVIS_R	PELVIS_R	PELVIS_L	PELVIS_L	PELVIS_L	
-20.9	16.20333333	-55.05	14.38	54.11666667	-2.398333333	143	107.5666667	101.3666667	219.8333333	1.286833333	-181.7166667					-1.85E+01	-2.28E+01	-2.08E+01	-2.92E+01	-2.20E+01	-1.21E+01	-2.09E+01
-21.21666667	15.40166667	-55.95	12.795	52.98333333	-3.611666667	143.3333333	107.1333333	102.05	220.3333333	1.184	-181.6333333					-1.87E+01	-2.30E+01	-2.12E+01	-2.96E+01	-2.23E+01	-1.25E+01	-2.12E+01
-21.56666667	14.59333333	-56.83333333	11.17966667	51.85	-4.818333333	144	106.8666667	102.5166667	220.6666667	1.100166667	-181.3966667					-1.89E+01	-2.33E+01	-2.16E+01	-3.00E+01	-2.27E+01	-1.29E+01	-2.16E+01
-21.9	13.78166667	-57.73333333	9.562	50.6	-6.055	144	106.6	103.45	221	1.035333333	-181.135					-1.91E+01	-2.35E+01	-2.20E+01	-3.04E+01	-2.30E+01	-1.34E+01	-2.19E+01
-22.26666667	12.95333333	-58.61666667	7.898333333	49.38333333	-7.278333333	144.8333333	106.5	103.8833333	221.6666667	0.96925	-180.89					-1.93E+01	-2.38E+01	-2.25E+01	-3.08E+01	-2.34E+01	-1.38E+01	-2.23E+01
-22.63333333	12.11833333	-59.48333333	6.215	48.08333333	-8.5425	145.1666667	106.4166667	104.65	221.6666667	0.9035	-180.6216667					-1.94E+01	-2.41E+01	-2.30E+01	-3.12E+01	-2.39E+01	-1.42E+01	-2.26E+01
-23	11.30333333	-60.38333333	4.511666667	46.75	-9.798333333	145.8333333	106.5	105.4333333	222.1666667	0.886333333	-180.535					-1.95E+01	-2.44E+01	-2.35E+01	-3.16E+01	-2.43E+01	-1.47E+01	-2.30E+01
-23.33333333	10.47166667	-61.2	2.813333333	45.33333333	-11.065	146	106.25	106.2166667	222.6666667	0.834816667	-180.275					-1.96E+01	-2.47E+01	-2.39E+01	-3.19E+01	-2.48E+01	-1.51E+01	-2.33E+01
-23.68333333	9.652166667	-61.98333333	1.0595	43.88333333	-12.34833333	146.6666667	106.2	107.1833333	222.8333333	0.766866667	-179.9966667					-1.97E+01	-2.50E+01	-2.43E+01	-3.22E+01	-2.53E+01	-1.56E+01	-2.37E+01
-24.01666667	8.825	-62.73333333	-0.661666667	42.36666667	-13.62333333	147.1666667	106.3333333	108.1666667	223.1666667	0.684466667	-179.9133333					-1.98E+01	-2.53E+01	-2.47E+01	-3.25E+01	-2.57E+01	-1.61E+01	-2.40E+01
-24.31666667	8.03305	-63.43333333	-2.411666667	40.75	-14.84166667	147.6666667	106.3	109	223.3333333	0.637333333	-179.68					-1.98E+01	-2.56E+01	-2.51E+01	-3.27E+01	-2.62E+01	-1.65E+01	-2.43E+01
-24.63333333	7.266333333	-64.05	-4.166666667	39.06666667	-16.085	148.1666667	106.3	110.0166667	223.5	0.562	-179.61					-1.99E+01	-2.59E+01	-2.54E+01	-3.30E+01	-2.66E+01	-1.70E+01	-2.46E+01
-24.9	6.525	-64.6	-5.938333333	37.33333333	-17.28833333	148.6666667	106.3166667	111.5666667	223.3333333	0.478833333	-179.39					-2.00E+01	-2.61E+01	-2.57E+01	-3.32E+01	-2.70E+01	-1.74E+01	-2.49E+01
-25.18333333	5.813333333	-65.05	-7.68	35.53333333	-18.45	148.8333333	106.1666667	112.6666667	223.1666667	0.391666667	-179.3516667					-2.00E+01	-2.64E+01	-2.59E+01	-3.35E+01	-2.74E+01	-1.79E+01	-2.52E+01
-25.43333333	5.121666667	-65.43333333	-9.439666667	33.68333333	-19.58333333	149.5	106.3666667	113.9666667	223.1666667	0.3355	-179.3466667					-2.01E+01	-2.67E+01	-2.61E+01	-3.37E+01	-2.77E+01	-1.83E+01	-2.54E+01
-25.71666667	4.48	-65.78333333	-11.16333333	31.76666667	-20.68333333	149.6666667	106.75	115.5	223.1666667	0.282666667	-179.34					-2.02E+01	-2.70E+01	-2.64E+01	-3.39E+01	-2.80E+01	-1.88E+01	-2.57E+01
-25.96666667	3.873666667	-66.05	-12.89	29.8	-21.76666667	150.1666667	106.9833333	117	222.6666667	0.248333333	-179.1983333					-2.04E+01	-2.73E+01	-2.66E+01	-3.41E+01	-2.82E+01	-1.92E+01	-2.60E+01
-26.2	3.286833333	-66.25	-14.61933333	27.845	-22.81666667	150.5	107.2166667	118.6666667	222.5	0.231666667	-179.3716667					-2.05E+01	-2.76E+01	-2.68E+01	-3.44E+01	-2.83E+01	-1.96E+01	-2.62E+01
-26.45	2.766666667	-66.45	-16.29333333	25.83166667	-23.81666667	150.8333333	107.2833333	120	222	0.236666667	-179.2333333					-2.06E+01	-2.80E+01	-2.70E+01	-3.46E+01	-2.85E+01	-2.00E+01	-2.65E+01
-26.7	2.271666667	-66.6	-17.96666667	23.79833333	-24.78333333	151	107.6833333	121.8333333	221.8333333	0.286666667	-179.43					-2.08E+01	-2.83E+01	-2.73E+01	-3.48E+01	-2.86E+01	-2.04E+01	-2.67E+01
-26.91666667	1.816666667	-66.7	-19.60166667	21.712	-25.7	151	108.0833333	123.5	221	0.355	-179.4633333					-2.09E+01	-2.87E+01	-2.75E+01	-3.50E+01	-2.86E+01	-2.08E+01	-2.69E+01
-27.16666667	1.404166667	-66.8	-21.21666667	19.55833333	-26.56666667	151.5	108.15	125.3333333	220.8333333	0.45	-179.4983333					-2.11E+01	-2.90E+01	-2.77E+01	-3.53E+01	-2.87E+01	-2.12E+01	-2.72E+01
-27.4	1.041166667	-66.85	-22.81666667	17.39166667	-27.4	151.5	108.5333333	127	220	0.56	-179.6833333					-2.13E+01	-2.94E+01	-2.80E+01	-3.55E+01	-2.87E+01	-2.15E+01	-2.74E+01
-27.58333333	0.7205	-66.93333333	-24.35	15.14833333	-28.18333333	151.6666667	108.4333333	128.3333333	219.8333333	0.701666667	-179.7166667					-2.14E+01	-2.97E+01	-2.82E+01	-3.57E+01	-2.87E+01	-2.18E+01	-2.76E+01
-27.76666667	0.455416667	-66.96666667	-25.83333333	12.815	-28.93333333	152	108.9666667	130.5	218.6666667	0.851666667	-179.9183333					-2.16E+01	-2.99E+01	-2.85E+01	-3.59E+01	-2.87E+01	-2.20E+01	-2.78E+01
-27.93333333	0.231666667	-67	-27.31666667	10.36166667	-29.61666667	152	108.85	131.8333333	217.5	1.008333333	-180.1033333					-2.18E+01	-3.02E+01	-2.87E+01	-3.60E+01	-2.87E+01	-2.22E+01	-2.79E+01
-28.11666667	0.0625	-67.05	-28.76666667	7.765	-30.25	152	108.8666667	133.6666667	216.5	1.166666667	-180.12					-2.20E+01	-3.04E+01	-2.90E+01	-3.62E+01	-2.88E+01	-2.23E+01	-2.81E+01
-28.23333333	-0.067833333	-67.08333333	-30.15	4.99	-30.88333333	152.1666667	109.2166667	135.3333333	215.1666667	1.335	-180.13					-2.22E+01	-3.05E+01	-2.92E+01	-3.63E+01	-2.89E+01	-2.23E+01	-2.82E+01
-28.31666667	-0.15	-67.15	-31.53333333	2.035833333	-31.48333333	151.8333333	109.2166667	137	213.6666667	1.485	-180.3116667					-2.24E+01	-3.06E+01	-2.94E+01	-3.64E+01	-2.90E+01	-2.21E+01	-2.83E+01
-28.38333333	-0.196666667	-67.18333333	-32.81666667	-1.051666667	-32.06666667	151.8333333	109.2166667	138.6666667	211.8333333	1.631666667	-180.295					-2.26E+01	-3.07E+01	-2.95E+01	-3.64E+01	-2.92E+01	-2.19E+01	-2.84E+01
-28.43333333	-0.196666667	-67.23333333	-34.06666667	-4.264533333	-32.63333333	151.6666667	109.2	140.1666667	209.8333333	1.778333333	-180.4466667					-2.27E+01	-3.08E+01	-2.97E+01	-3.65E+01	-2.94E+01	-2.15E+01	-2.84E+01
