THIGH	LEG	FOOT	TOE	LIMB	HIP	KNEE	ANKLE	MTP	AB/AD_PELVIS	ROT_PELVIS	AB/ADKNEE
41.31111111	-46.23333333	31.68333333	67.42222222	10.57311111	92.77777778	92.54444444	96.46666667	215.8333333	-0.409	1.25	40.83333333
40.93888889	-47.00555556	30.75	67.06111111	9.778666667	92.91111111	92.11111111	96.59444444	216.2777778	-0.436944444	1.278888889	40.88888889
40.59444444	-47.78333333	29.81111111	66.67777778	8.984	93.08333333	91.73333333	96.84444444	216.9444444	-0.459444444	1.371111111	40.83333333
40.23333333	-48.54444444	28.85555556	66.3	8.183166667	93.26666667	91.20555556	96.98888889	217.3888889	-0.487777778	1.465555556	40.77777778
39.90555556	-49.30555556	27.88333333	65.88333333	7.375055556	93.45555556	90.85	97.09444444	218.0555556	-0.508333333	1.506666667	40.83333333
39.57777778	-50.06111111	26.9	65.46111111	6.560622222	93.63333333	90.38888889	97.25555556	218.5	-0.531111111	1.532777778	40.77777778
39.22777778	-50.80555556	25.89722222	65.02777778	5.742	93.73333333	90.02222222	97.62222222	219.1666667	-0.531666667	1.566666667	40.88888889
38.88333333	-51.53888889	24.88111111	64.57222222	4.913333333	93.86111111	89.59444444	97.78333333	219.7222222	-0.545	1.646111111	40.83333333
38.52222222	-52.24444444	23.89055556	64.10555556	4.083	94.02777778	89.23888889	98.00555556	220.3333333	-0.541	1.672222222	40.72222222
38.18333333	-52.94444444	22.88166667	63.63888889	3.245	94.26666667	88.88333333	98.45555556	220.7222222	-0.541444444	1.743888889	40.77777778
37.80555556	-53.62222222	21.85388889	63.13333333	2.409722222	94.32777778	88.55	98.63888889	221.1666667	-0.538277778	1.783888889	40.72222222
37.45555556	-54.28888889	20.8265	62.62777778	1.578388889	94.50555556	88.21111111	99.1	221.8888889	-0.530111111	1.846666667	40.66666667
37.09444444	-54.93333333	19.78333333	62.10555556	0.739555556	94.69444444	87.95555556	99.35555556	222.1666667	-0.521388889	1.863888889	40.55555556
36.73333333	-55.55555556	18.735	61.56666667	-0.092944444	94.82777778	87.68333333	99.9	222.8888889	-0.515333333	1.875555556	40.66666667
36.35555556	-56.17222222	17.67111111	61.03333333	-0.935277778	95.08333333	87.39444444	100.2888889	223.3333333	-0.494777778	1.886666667	40.66666667
35.98888889	-56.77777778	16.595	60.46666667	-1.778611111	95.22222222	87.17777778	100.8055556	223.8888889	-0.478333333	2.005555556	40.61111111
35.64444444	-57.36111111	15.50722222	59.89444444	-2.620444444	95.43888889	86.94444444	101.3333333	224.5	-0.453166667	2.026666667	40.55555556
35.27777778	-57.92777778	14.42555556	59.29444444	-3.460555556	95.57777778	86.75	101.8333333	224.7777778	-0.429444444	2.052222222	40.55555556
34.92777778	-58.48333333	13.32277778	58.67222222	-4.306777778	95.83888889	86.52222222	102.35	225.3888889	-0.402055556	2.075555556	40.55555556
34.56666667	-59.01666667	12.22275556	58.03333333	-5.143888889	96.03888889	86.36111111	102.9388889	225.7222222	-0.368444444	2.148888889	40.5
34.21611111	-59.54444444	11.12472222	57.39444444	-5.986777778	96.25555556	86.15555556	103.5944444	226.1666667	-0.347666667	2.221111111	40.5
33.86	-60.04444444	10.024	56.75555556	-6.815966667	96.46111111	86.00555556	104.1388889	226.7222222	-0.321611111	2.254444444	40.55555556
33.53222222	-60.52222222	8.929166667	56.1	-7.635861111	96.67777778	85.86111111	104.7277778	227.0555556	-0.298722222	2.332222222	40.55555556
33.17666667	-60.98888889	7.830611111	55.44444444	-8.457666667	96.96111111	85.73333333	105.4388889	227.6111111	-0.289738889	2.352833333	40.44444444
32.80444444	-61.45	6.738333333	54.76111111	-9.277555556	97.11666667	85.66666667	106	228.1111111	-0.288005556	2.367111111	40.55555556
32.46	-61.9	5.647222222	54.05555556	-10.08438889	97.31666667	85.54444444	106.7	228.3333333	-0.286277778	2.389944444	40.5
32.09777778	-62.34444444	4.564666667	53.34444444	-10.89888889	97.59444444	85.5	107.4055556	228.8333333	-0.3035	2.517222222	40.61111111
31.74666667	-62.76666667	3.477666667	52.59444444	-11.69611111	97.89444444	85.47222222	108.0611111	229.1111111	-0.327	2.541111111	40.55555556
31.36666667	-63.16666667	2.364722222	51.82777778	-12.49788889	98.1	85.38888889	108.7777778	229.4444444	-0.369388889	2.566666667	40.61111111
31.01388889	-63.56111111	1.250277778	51.02222222	-13.29122222	98.27777778	85.34444444	109.5555556	229.8333333	-0.422055556	2.644444444	40.61111111
30.62555556	-63.91666667	0.116222222	50.16666667	-14.09111111	98.50555556	85.36666667	110.4722222	230.0555556	-0.490944444	2.660555556	40.66666667
30.27422222	-64.27777778	-1.051111111	49.27222222	-14.89111111	98.86111111	85.26111111	111.3333333	230.2777778	-0.571237778	2.679444444	40.61111111
