body_Z	body_Y	body_X	chain_1_segment_1_Y	chain_1_segment_1_Z	chain_1_segment_1_X	chain_1_segment_2_Y	chain_1_segment_2_Z	chain_1_segment_2_X	chain_1_segment_3_Y	chain_1_segment_3_Z	chain_1_segment_3_X	chain_1_segment_4_Z	chain_1_segment_4_Y	chain_1_segment_4_X	chain_2_segment_1_Y	chain_2_segment_1_Z	chain_2_segment_1_X	chain_2_segment_2_Y	chain_2_segment_2_Z	chain_2_segment_2_X	chain_2_segment_3_Y	chain_2_segment_3_Z	chain_2_segment_3_X	chain_2_segment_4_Z	chain_2_segment_4_Y	chain_2_segment_4_X
8.791532e+001	9.192348e+000	-7.883373e+001	8.089959e+001	2.182448e+001	-1.573963e+002	-1.077613e+002	-1.281041e-014	-1.826972e+002	-4.037212e+000	-2.541665e-014	0	-1.169921e+001	-4.516235e+001	0	7.449396e+001	-6.593233e+000	-1.546082e+002	-1.017864e+002	0	-1.634819e+002	-1.133419e+002	0	0	3.945906e+000	1.254204e+001	0
8.788673e+001	9.219202e+000	-7.878221e+001	8.081864e+001	2.186679e+001	-1.569953e+002	-1.081866e+002	0	-1.828763e+002	-3.945763e+000	2.541991e-014	0	-1.211532e+001	-4.523101e+001	0	7.455753e+001	-6.591051e+000	-1.546154e+002	-1.016796e+002	0	-1.633905e+002	-1.131755e+002	0	0	3.724386e+000	1.248600e+001	0
8.785598e+001	9.242697e+000	-7.872922e+001	8.073398e+001	2.190460e+001	-1.565943e+002	-1.086220e+002	3.858621e-014	-1.830747e+002	-3.855697e+000	2.542533e-014	0	-1.255214e+001	-4.529262e+001	0	7.463241e+001	-6.584342e+000	-1.546308e+002	-1.015913e+002	0	-1.633036e+002	-1.130167e+002	-3.032157e-014	0	3.513287e+000	1.244001e+001	0
8.782297e+001	9.262829e+000	-7.867480e+001	8.064588e+001	2.193801e+001	-1.561934e+002	-1.090673e+002	-1.289014e-014	-1.832995e+002	-3.766829e+000	2.543286e-014	0	-1.301611e+001	-4.534481e+001	0	7.471859e+001	-6.572654e+000	-1.546535e+002	-1.015185e+002	0	-1.632203e+002	-1.128614e+002	3.031335e-014	0	3.311743e+000	1.240253e+001	0
8.778757e+001	9.279620e+000	-7.861896e+001	8.055463e+001	2.196717e+001	-1.557927e+002	-1.095223e+002	2.583912e-014	-1.835580e+002	-3.678922e+000	0	0	-1.351416e+001	-4.538500e+001	0	7.481603e+001	-6.555601e+000	-1.546827e+002	-1.014582e+002	3.395128e-014	-1.631399e+002	-1.127053e+002	-3.030616e-014	0	3.118942e+000	1.237210e+001	0
8.774967e+001	9.293109e+000	-7.856176e+001	8.046049e+001	2.199217e+001	-1.553924e+002	-1.099866e+002	0	-1.838587e+002	-3.591696e+000	-5.090732e-014	0	-1.405366e+001	-4.541026e+001	0	7.492466e+001	-6.532864e+000	-1.547178e+002	-1.014076e+002	-1.695319e-014	-1.630617e+002	-1.125444e+002	0	0	2.934123e+000	1.234735e+001	0
8.770911e+001	9.303352e+000	-7.850324e+001	8.036370e+001	2.201316e+001	-1.549924e+002	-1.104599e+002	0	-1.842103e+002	-3.504847e+000	0	0	-1.464247e+001	-4.541727e+001	0	7.504434e+001	-6.504209e+000	-1.547582e+002	-1.013640e+002	1.692635e-014	-1.629849e+002	-1.123746e+002	-3.029459e-014	0	2.756585e+000	1.232696e+001	0
8.766576e+001	9.310419e+000	-7.844349e+001	8.026448e+001	2.203027e+001	-1.545930e+002	-1.109416e+002	-2.602920e-014	-1.846226e+002	-3.418067e+000	0	0	-1.528884e+001	-4.540214e+001	0	7.517487e+001	-6.469489e+000	-1.548037e+002	-1.013252e+002	-3.378971e-014	-1.629089e+002	-1.121920e+002	6.058007e-014	0	2.585686e+000	1.230977e+001	0
8.761946e+001	9.314382e+000	-7.838257e+001	8.016300e+001	2.204362e+001	-1.541940e+002	-1.114311e+002	3.914440e-014	-1.851058e+002	-3.331065e+000	2.549585e-014	0	-1.600138e+001	-4.536027e+001	0	7.531603e+001	-6.428654e+000	-1.548538e+002	-1.012890e+002	5.057545e-014	-1.628332e+002	-1.119929e+002	-3.028617e-014	0	2.420845e+000	1.229472e+001	0
8.757004e+001	9.315318e+000	-7.832056e+001	8.005941e+001	2.205338e+001	-1.537954e+002	-1.119279e+002	-1.308239e-014	-1.856712e+002	-3.243596e+000	-2.551158e-014	0	-1.678896e+001	-4.528616e+001	0	7.546751e+001	-6.381753e+000	-1.549086e+002	-1.012535e+002	-1.681708e-014	-1.627572e+002	-1.117739e+002	3.028289e-014	0	2.261548e+000	1.228090e+001	0
8.751735e+001	9.313298e+000	-7.825756e+001	7.995380e+001	2.205973e+001	-1.533972e+002	-1.124312e+002	1.311725e-014	-1.863306e+002	-3.155485e+000	2.552749e-014	0	-1.766049e+001	-4.517321e+001	0	7.562891e+001	-6.328938e+000	-1.549679e+002	-1.012173e+002	3.354112e-014	-1.626807e+002	-1.115319e+002	3.028002e-014	0	2.107348e+000	1.226756e+001	0
8.746123e+001	9.308384e+000	-7.819366e+001	7.984623e+001	2.206286e+001	-1.529994e+002	-1.129405e+002	0	-1.870967e+002	-3.066654e+000	0	0	-1.862464e+001	-4.501350e+001	0	7.579981e+001	-6.270469e+000	-1.550320e+002	-1.011791e+002	-1.671887e-014	-1.626032e+002	-1.112643e+002	-3.027739e-014	0	1.957864e+000	1.225407e+001	0
8.740152e+001	9.300625e+000	-7.812898e+001	7.973670e+001	2.206301e+001	-1.526017e+002	-1.134550e+002	-1.318838e-014	-1.879827e+002	-2.977151e+000	-2.555799e-014	0	-1.968939e+001	-4.479760e+001	0	7.597968e+001	-6.206709e+000	-1.551011e+002	-1.011380e+002	3.332412e-014	-1.625246e+002	-1.109689e+002	-6.054955e-014	0	1.812790e+000	1.223996e+001	0
8.733808e+001	9.290048e+000	-7.806362e+001	7.962517e+001	2.206045e+001	-1.522041e+002	-1.139741e+002	3.967335e-014	-1.890024e+002	-2.887172e+000	0	0	-2.086138e+001	-4.451441e+001	0	7.616790e+001	-6.138124e+000	-1.551755e+002	-1.010936e+002	-3.320041e-014	-1.624450e+002	-1.106441e+002	0	0	1.671890e+000	1.222492e+001	0
8.727075e+001	9.276660e+000	-7.799770e+001	7.951154e+001	2.205545e+001	-1.518064e+002	-1.144969e+002	1.326074e-014	-1.901693e+002	-2.797084e+000	0	0	-2.214509e+001	-4.415113e+001	0	7.636379e+001	-6.065279e+000	-1.552557e+002	-1.010456e+002	-1.653346e-014	-1.623643e+002	-1.102888e+002	-3.026845e-014	0	1.535001e+000	1.220877e+001	0
8.719940e+001	9.260444e+000	-7.793135e+001	7.939567e+001	2.204837e+001	-1.514083e+002	-1.150229e+002	1.329719e-014	-1.914965e+002	-2.707433e+000	0	0	-2.354173e+001	-4.369338e+001	0	7.656658e+001	-5.988832e+000	-1.553423e+002	-1.009940e+002	0	-1.622827e+002	-1.099026e+002	-3.026409e-014	0	1.402034e+000	1.219144e+001	0
8.712389e+001	9.241356e+000	-7.786469e+001	7.927736e+001	2.203955e+001	-1.510097e+002	-1.155515e+002	1.333373e-014	-1.929954e+002	-2.618949e+000	0	0	-2.504801e+001	-4.312564e+001	0	7.677542e+001	-5.909524e+000	-1.554356e+002	-1.009391e+002	0	-1.622005e+002	-1.094857e+002	3.025841e-014	0	1.272971e+000	1.217301e+001	0
8.704410e+001	9.219330e+000	-7.779784e+001	7.915638e+001	2.202941e+001	-1.506103e+002	-1.160819e+002	0	-1.946745e+002	-2.532540e+000	5.120724e-014	0	-2.665485e+001	-4.243202e+001	0	7.698936e+001	-5.828174e+000	-1.555363e+002	-1.008815e+002	1.630629e-014	-1.621181e+002	-1.090390e+002	-6.050202e-014	0	1.147864e+000	1.215365e+001	0
8.695990e+001	9.194273e+000	-7.773095e+001	7.903244e+001	2.201836e+001	-1.502097e+002	-1.166136e+002	-1.340693e-014	-1.965379e+002	-2.449262e+000	0	0	-2.834626e+001	-4.159764e+001	0	7.720740e+001	-5.745660e+000	-1.556450e+002	-1.008219e+002	-1.622263e-014	-1.620359e+002	-1.085641e+002	3.024149e-014	0	1.026834e+000	1.213364e+001	0
8.687118e+001	9.166075e+000	-7.766412e+001	7.890525e+001	2.200684e+001	-1.498076e+002	-1.171461e+002	1.344353e-014	-1.985831e+002	-2.370283e+000	0	0	-3.009870e+001	-4.061051e+001	0	7.742844e+001	-5.662911e+000	-1.557621e+002	-1.007612e+002	3.227125e-014	-1.619546e+002	-1.080631e+002	0	0	9.100591e-001	1.211331e+001	0
8.677781e+001	9.134609e+000	-7.759750e+001	7.877447e+001	2.199532e+001	-1.494035e+002	-1.176789e+002	1.348012e-014	-2.007989e+002	-2.296814e+000	0	0	-3.188124e+001	-3.946388e+001	0	7.765134e+001	-5.580892e+000	-1.558882e+002	-1.007004e+002	0	-1.618746e+002	-1.075390e+002	-3.021445e-014	0	7.977736e-001	1.209309e+001	0
